#	schemaVersion	1
#	repository	https://github.com/sgossner/VSCO-2-CE
#	revision	440300901dfe9275fd84e0b7763af1f8443ae62e
#	tree	0ecebcfca0c7e0fe501f71964027f8f59fa0e432
#	license	CC0-1.0
#	licensePath	LICENSE
#	licenseBlob	670154e3538863b2d9891fd5483160fbdfc89164
kind	path	source	gitBlob	sha256	license
sample	public/samples/levain/bassoon/PSBassoon_C3_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_C3_v2_rr1.wav	3b45a2db7642213a94f9082ec5869c1e626f2328	e2c3473ab074c1c8e2330c96c379e3896d77cf30b6f4a3abced62d616ee6bb1c	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C3_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_C3_v2_rr2.wav	a5458c14b2a0f0d230264d657b1da04b284c7b68	46ef7883b13a29d83fb3d8d98207895e298ed0973b50be62e5c19f23bbc5d1e7	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C4_v1_1.wav	Woodwinds/Bassoon/sus/PSBassoon_C4_v1_1.wav	b046554b78d5edaaeb4a81d045833365253bae60	d5b66ec79aacc7563620ace09f7e20610b48040ad08aff2fec7b0146aaa00748	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C4_v1_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_C4_v1_rr1.wav	672f772dae0e8f846309d4ffe3bc2940d65362c9	3659259f1ddd298c72eaf2b4ead4557ab96226859c5307ade0e918001576b353	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C4_v1_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_C4_v1_rr2.wav	a5b53cc0ccfa11a5bb4a763a37e6374c37a043f9	d7cce059c8d73a6e5e0745ec42b827e0e8aab846735514dd340fdfe568cdc6ce	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C4_v2_1.wav	Woodwinds/Bassoon/sus/PSBassoon_C4_v2_1.wav	0c1d22dd2f18c5dabfcb6a5d6ac694f3f0c8dd71	5609028197a4ab16724398b17618b08704bf27fd0ae6e9e3cdd3bcee88f8e438	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C4_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_C4_v2_rr1.wav	43e21c5ea380df6a4a5da45e4976fc8573f3f828	f433f2e1c06d11f0410dccc8f502ef3372150046022a0f96ef6e99d1e92efeee	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_C4_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_C4_v2_rr2.wav	0a82462a15b8856418e92250d08339a7961ba980	33f93e9c4df42510740af757855df02a25d9eafd129454059c760dd82c0bff11	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_D#2_v2_rr1.wav	Woodwinds/Bassoon/stac/PSBassoon_D#2_v2_rr1.wav	93dfa97f79e0057c227723ffd7642386070ea7e8	83881b66b1096e2346924e4b54c57e67aac85e99b2319a279bfa94eea4aa0a55	CC0-1.0
sample	public/samples/levain/bassoon/PSBassoon_D#2_v2_rr2.wav	Woodwinds/Bassoon/stac/PSBassoon_D#2_v2_rr2.wav	bf8fe365924d2cca9f3dd5d970c00c98c7225884	05bae26c55eb7a4d83630d3ac7f7a3bd113baa219e2be0f1ad2d89518e9e413d	CC0-1.0
